,_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,draft_pick_int,draft_round_int,draft_team_id,position_id,lifetime_profit,seasons_played,mean_season_profit,nind
2602,mannida01,"May 17, 1966","Hattiesburg, Mississippi",2.3,51.1,20.6,72.9,883,16.9,14.0,5.2,55.1,51.3,University of Kansas,1st overall,1st round,Los Angeles Clippers,1988,6-10,"Lawrence in Lawrence, Kansas",Danny Manning,Power Forward,Right,230lb,1,1,21,0,62226233,16,3889139.5625,1206
2605,manniri01,"June 23, 1970","Tacoma, Washington",0.2,41.5,40.0,64.3,55,8.1,3.3,1.7,-0.3,42.1,"Syracuse University, University of Washington",40th overall,2nd round,Atlanta Hawks,1993,6-11,"Center in North Highlands, California",Rich Manning,Power Forward,Right,253lb,40,2,34,0,257991,1,257991.0,1207
2606,mannipa01,"September 22, 1960","Salt Lake City, Utah",1.1,41.3,20.3,66.3,216,9.4,3.1,1.2,1.7,42.5,University of Utah,43rd overall,2nd round,Golden State Warriors,1983,6-7,"Chaparral in Las Vegas, Nevada",Pace Mannion,Small Forward,Right,190lb,43,2,26,9,72967,1,72967.0,1208
2610,marblde01,"September 21, 1992","Southfield, Michigan",0.7,30.4,22.2,37.5,44,5.5,2.2,1.6,-0.3,35.7,University of Iowa,56th overall,2nd round,Denver Nuggets,2014,6-6,"Lathrup in Southfield, Michigan",Devyn Marble,Shooting Guard,Right,200lb,5,2,3,4,1803272,2,901636.0,1209
2612,marbust01,"February 20, 1977","Brooklyn, New York",7.6,43.3,32.5,78.4,846,18.7,19.3,3.0,77.5,47.0,Georgia Institute of Technology,4th overall,1st round,Milwaukee Bucks,1996,6-2,"Abraham Lincoln in Brooklyn, New York",Stephon Marbury,Point Guard,Right,180lb,4,1,2,3,157521941,13,12117072.384615384,1210
2613,marcisa01,"June 13, 1964","Kaunas, Lithuania",2.2,50.5,36.9,76.8,363,16.7,12.8,2.3,20.0,52.6,,127th overall,6th round,Golden State Warriors,1987,6-5,,Sarunas Marciulionis,Small Forward and Shooting Guard,Left,200lb,12,6,26,16,14944759,8,1868094.875,1211
2616,mariosh01,"May 7, 1978","Waukegan, Illinois",1.9,48.4,33.1,81.0,1163,18.8,15.2,8.7,124.9,51.0,"University of Nevada, Las Vegas",9th overall,1st round,Phoenix Suns,1999,6-7,"Clarksville in Clarksville, Tennessee",Shawn Marion,Small Forward and Power Forward,Right,220lb,9,1,14,6,140656900,16,8791056.25,1212
2617,marjabo01,"August 15, 1988","Zajecar, Serbia",0.6,58.3,40.0,77.3,186,26.4,6.2,3.9,9.7,58.5,,,,,,7-3,,Boban Marjanovic,Center,Right,290lb,0,0,-1,2,15844347,3,5281449.0,1213
2618,markkla01,"May 22, 1997","Vantaa, Finland",1.3,43.2,36.2,85.9,120,16.3,16.7,8.2,6.1,51.2,University of Arizona,7th overall,1st round,Minnesota Timberwolves,2017,7-0,"Helsinki Academy in Helsinki, Finland",Lauri Markkanen,Power Forward,Right,240lb,7,1,30,0,3983644,1,3983644.0,1214
2619,markoda01,"December 26, 1985","Sarajevo, Bosnia and Herzegovina",0.2,36.5,37.5,63.6,30,5.0,1.7,1.0,-0.2,42.3,,59th overall,2nd round,San Antonio Spurs,2006,6-10,,Damir Markota,Power Forward,Right,225lb,5,2,24,0,430213,1,430213.0,1215
2620,marksse01,"August 23, 1975","Auckland, New Zealand",0.2,44.8,20.0,66.5,230,9.1,2.8,2.2,2.6,45.2,University of California,44th overall,2nd round,New York Knicks,1998,6-10,"Rangitoto School in Auckland, New Zealand",Sean Marks,Power Forward and Center,Right,250lb,44,2,11,1,9994538,12,832878.1666666666,1216
2624,marshdo02,"July 17, 1972","Detroit, Michigan",0.3,32.1,33.6,68.1,119,8.7,2.5,1.0,0.9,39.9,University of Connecticut,39th overall,2nd round,Cleveland Cavaliers,1995,6-7,"Federal Way in Federal Way, Washington",Donny Marshall,Small Forward,Right,230lb,39,2,35,9,1240445,3,413481.6666666667,1217
2625,marshdo01,"May 18, 1973","Reading, Pennsylvania",1.4,43.5,35.0,73.1,957,16.8,11.2,6.7,59.0,48.3,University of Connecticut,4th overall,1st round,Minnesota Timberwolves,1994,6-9,"Reading in Reading, Pennsylvania",Donyell Marshall,Power Forward and Small Forward,Right,218lb,4,1,30,10,75487747,17,4440455.705882353,1218
2626,marshke01,"August 19, 1991","Dumfries, Virginia",4.9,39.9,37.0,61.1,160,10.7,5.0,1.6,1.0,48.0,University of North Carolina,13th overall,1st round,Phoenix Suns,2012,6-4,"Bishop O'Connell in Arlington, Virginia",Kendall Marshall,Point Guard,Left,200lb,13,1,14,3,7280773,4,1820193.25,1219
2627,marshra01,"February 20, 1982","Georgetown, Guyana",0.4,37.6,23.8,71.6,63,8.1,2.7,1.0,0.2,39.3,"Ball State University, Oakland University",,,,,6-9,"Mackenzie in Detroit, Michigan",Rawle Marshall,Shooting Guard and Small Forward,Right,190lb,0,0,-1,12,1108031,2,554015.5,1220
2630,martibi01,"August 16, 1962","Washington, District of Columbia",0.7,44.9,0.0,81.3,84,10.4,4.7,1.6,0.3,44.9,Georgetown University,26th overall,2nd round,Indiana Pacers,1985,6-7,"McKinley in Washington, District of Columbia",Bill Martin,Small Forward,Right,205lb,26,2,37,9,156358,1,156358.0,1221
2633,martica01,"November 20, 1984","Crockett, Texas",0.5,39.2,37.2,72.9,243,10.1,5.1,1.9,3.7,49.1,Kansas State University,,,,,6-7,"Aldine Nimitz in Houston, Texas",Cartier Martin,Small Forward,Right,220lb,0,0,-1,9,4663426,6,777237.6666666666,1222
2635,martida01,"March 6, 1971","Denver, Colorado",2.9,38.2,34.0,84.3,514,12.5,6.9,1.1,9.6,43.8,"University of California, Los Angeles",,,,,5-11,"Saint Anthony in Long Beach, California",Darrick Martin,Point Guard,Left,170lb,0,0,-1,3,6879971,9,764441.2222222222,1223
2639,martija01,"May 24, 1994","Baton Rouge, Louisiana",0.6,43.4,34.6,76.6,184,10.5,5.4,3.5,3.2,47.0,Louisiana State University,25th overall,1st round,Memphis Grizzlies,2015,6-10,"Madison Prep in Baton Rouge, Louisiana",Jarell Martin,Power Forward,Right,239lb,25,1,17,0,4157453,3,1385817.6666666667,1224
2640,martije01,"January 14, 1967","Cherry Valley, Arkansas",0.8,41.7,28.2,69.4,143,9.3,6.7,2.0,2.1,43.3,Murray State University,31st overall,2nd round,Los Angeles Clippers,1989,6-5,"Cross Country in Cherry Valley, Arkansas",Jeff Martin,Point Guard and Shooting Guard,Right,195lb,31,2,21,14,218902,1,218902.0,1225
2641,martike01,"December 30, 1977","Saginaw, Michigan",1.9,48.3,23.4,62.9,757,15.0,12.3,6.8,48.0,48.7,University of Cincinnati,1st overall,1st round,New Jersey Nets,2000,6-9,"Bryan Adams in Dallas, Texas",Kenyon Martin,Power Forward and Center,Right,234lb,1,1,16,1,117827709,15,7855180.6,1226
2642,martike02,"February 1, 1983","Zanesville, Ohio",1.9,43.7,38.4,87.0,714,17.7,17.4,3.2,61.3,50.2,Western Carolina University,26th overall,1st round,Sacramento Kings,2004,6-7,"Zanesville in Zanesville, Ohio",Kevin Martin,Point Guard and Shooting Guard,Right,199lb,26,1,4,14,85513660,15,5700910.666666667,1227
2644,martima01,"July 2, 1964","Liberty, New York",0.7,37.8,21.1,59.8,69,9.3,3.0,0.9,-0.3,38.8,Saint Joseph's University,16th overall,1st round,Denver Nuggets,1986,6-6,"Central in Liberty, New York",Maurice Martin,Small Forward,Right,200lb,16,1,3,9,521195,2,260597.5,1228
2648,mashbja01,"November 29, 1972","New York, New York",4.0,41.8,34.5,76.6,611,15.7,19.1,5.4,43.7,45.6,University of Kentucky,4th overall,1st round,Dallas Mavericks,1993,6-8,"Cardinal Hayes in Bronx, New York",Jamal Mashburn,Small Forward,Right,240lb,4,1,12,9,78829413,13,6063801.0,1229
2650,masonan01,"December 14, 1966","Miami, Florida",3.4,50.9,16.7,70.9,882,14.6,10.9,8.3,88.3,51.0,Tennessee State University,53rd overall,3rd round,Portland Trail Blazers,1988,6-7,"Springfield Gardens in Springfield Gardens, New York",Anthony Mason,Center and Small Forward and Power Forward,Left,250lb,5,3,0,5,46955496,14,3353964.0,1230
2651,masonde01,"October 11, 1977","Waxahachie, Texas",1.6,44.9,26.0,74.0,643,12.7,12.1,4.5,23.1,45.4,Oklahoma State University,17th overall,1st round,Seattle SuperSonics,2000,6-7,"Waxahachie in Waxahachie, Texas",Desmond Mason,Small Forward and Shooting Guard,Right,224lb,17,1,32,16,39236647,10,3923664.7,1231
2652,masonfr01,"April 3, 1994","Petersburg, Virginia",2.6,39.2,30.0,77.3,90,12.8,6.8,1.9,0.9,43.3,University of Kansas,34th overall,2nd round,Sacramento Kings,2017,5-11,"Petersburg in Petersburg, Virginia",Frank Mason III,Point Guard,Right,190lb,34,2,4,3,1234592,1,1234592.0,1232
2653,masonro01,"September 10, 1980","Washington, District of Columbia",1.3,40.8,38.3,86.6,518,10.9,6.3,1.7,13.0,50.9,University of Virginia,31st overall,2nd round,Chicago Bulls,2002,6-5,"Good Counsel in Wheaton, Maryland",Roger Mason,Small Forward and Point Guard and Shooting Guard,Right,200lb,31,2,23,33,14290030,10,1429003.0,1233
2654,masseto01,"July 31, 1967","Sussex, Virginia",0.4,47.0,9.1,70.5,683,11.9,6.2,4.3,15.6,47.0,University of Maryland,43rd overall,2nd round,San Antonio Spurs,1990,6-9,"Sussex Central in Sussex, Virginia",Tony Massenburg,Center and Power Forward,Right,220lb,43,2,24,11,12603650,14,900260.7142857143,1234
2659,matthwe01,"August 24, 1959","Sarasota, Florida",4.2,47.8,22.5,78.8,465,13.0,7.9,1.3,11.0,48.4,University of Wisconsin,14th overall,1st round,Washington Bullets,1980,6-1,"Harding in Bridgeport, Connecticut",Wes Matthews,Point Guard,Right,170lb,14,1,36,3,213689,2,106844.5,1235
2660,matthwe02,"October 14, 1986","San Antonio, Texas",2.2,42.5,38.2,82.6,724,13.3,13.7,3.1,47.8,52.2,Marquette University,,,,,6-5,"James Madison Memorial in Madison, Wisconsin",Wesley Matthews,Small Forward and Shooting Guard,Right,220lb,0,0,-1,16,87944845,9,9771649.444444444,1236
2662,maxeyma01,"February 19, 1969","Chicago, Illinois",0.2,54.2,0.0,68.5,98,15.6,4.9,3.7,2.6,54.2,"University of Minnesota, University of Texas at El Paso",28th overall,2nd round,Minnesota Timberwolves,1992,6-8,"Percy L. Julian in Chicago, Illinois",Marlon Maxey,Power Forward,Right,250lb,28,2,30,0,1016330,3,338776.6666666667,1237
2663,maxieja01,"February 18, 1983","Chicago, Illinois",0.4,49.5,0.0,56.4,618,13.0,5.6,4.2,20.3,49.5,University of Cincinnati,26th overall,1st round,Detroit Pistons,2005,6-7,"Newman Smith in Carrollton, Texas",Jason Maxiell,Center and Power Forward,Right,260lb,26,1,10,11,29827836,10,2982783.6,1238
2664,maxwece01,"November 21, 1955","Kinston, North Carolina",2.2,54.6,5.3,78.4,835,16.4,12.5,6.3,78.5,54.6,University of North Carolina at Charlotte,12th overall,1st round,Boston Celtics,1977,6-8,"Kinston in Kinston, North Carolina",Cedric Maxwell,Small Forward,Right,205lb,12,1,19,9,1965948,3,655316.0,1239
2665,maxweve01,"September 12, 1965","Gainesville, Florida",3.4,39.8,32.0,73.3,855,12.7,12.8,2.6,27.4,46.2,University of Florida,47th overall,2nd round,Denver Nuggets,1988,6-4,"Buchholz in Gainesville, Florida",Vernon Maxwell,Point Guard and Shooting Guard,Right,180lb,47,2,3,14,13495836,13,1038141.2307692308,1240
2668,mayse01,"April 4, 1984","Chicago, Illinois",1.0,45.8,23.1,74.6,119,14.9,6.9,4.0,2.6,46.0,University of North Carolina,13th overall,1st round,Charlotte Bobcats,2005,6-9,"Bloomington North in Bloomington, Indiana",Sean May,Power Forward and Center,Right,266lb,13,1,20,1,9139756,5,1827951.2,1241
2669,maybele01,"June 12, 1970","Tulsa, Oklahoma",3.6,41.5,37.7,65.9,496,10.1,5.1,1.3,7.9,49.8,University of Arkansas,23rd overall,1st round,Milwaukee Bucks,1992,6-1,"Will Rogers in Tulsa, Oklahoma",Lee Mayberry,Point Guard,Right,172lb,23,1,2,3,7228980,7,1032711.4285714285,1242
2671,mayesth01,"September 9, 1968","New Haven, Connecticut",1.5,30.3,36.6,66.7,24,6.4,4.1,0.7,-0.4,37.9,Florida State University,,,,,6-3,"Hillhouse in New Haven, Connecticut",Tharon Mayes,Shooting Guard,Right,175lb,0,0,-1,4,135510,1,135510.0,1243
2674,maynoer01,"June 11, 1987","Raeford, North Carolina",2.8,39.2,35.0,72.1,267,10.6,4.3,1.3,3.3,44.2,Virginia Commonwealth University,20th overall,1st round,Utah Jazz,2009,6-3,"Westover in Fayetteville, North Carolina",Eric Maynor,Shooting Guard and Point Guard,Right,175lb,20,1,28,13,11169054,6,1861509.0,1244
2675,mayooj01,"November 5, 1987","Huntington, West Virginia",2.9,42.9,37.3,82.0,547,13.4,13.8,3.1,21.8,49.4,University of Southern California,3rd overall,1st round,Minnesota Timberwolves,2008,6-5,"Huntington in Huntington, West Virginia",O.J. Mayo,Shooting Guard,Right,210lb,3,1,30,4,48105769,8,6013221.125,1245
2676,maystr01,"June 19, 1968","Ocala, Florida",2.8,41.0,36.2,74.9,115,11.7,11.1,2.0,2.4,45.9,University of Texas at Austin,14th overall,1st round,Sacramento Kings,1990,6-2,"Vanguard in Ocala, Florida",Travis Mays,Point Guard,Right,190lb,14,1,4,3,3127173,3,1042391.0,1246
2678,mbahalu01,"September 9, 1986","Yaounde, Cameroon",0.9,45.4,33.5,66.0,686,10.7,6.4,4.1,26.0,48.2,"University of California, Los Angeles",37th overall,2nd round,Milwaukee Bucks,2008,6-8,"Monteverde Academy in St. Monteverde, Florida",Luc Mbah a Moute,Small Forward and Power Forward,Right,230lb,37,2,2,6,27163990,10,2716399.0,1247
2679,mcadobo01,"September 25, 1951","Greensboro, North Carolina",2.3,50.3,8.1,75.4,852,20.7,22.1,9.4,89.1,50.3,University of North Carolina,2nd overall,1st round,Buffalo Braves,1972,6-9,"Ben Smith in Greensboro, North Carolina",Bob McAdoo,Center and Power Forward,Right,210lb,2,1,49,11,962127,1,962127.0,1248
2683,mccalra01,"June 12, 1991","Madison, Wisconsin",2.4,40.8,33.5,71.1,154,11.0,6.0,2.0,2.1,44.7,University of Detroit Mercy,36th overall,2nd round,Sacramento Kings,2013,6-3,"Detroit County Day School in , Michigan",Ray McCallum,Point Guard,Right,190lb,36,2,4,3,2091707,5,418341.4,1249
2684,mccanbo01,"April 22, 1964","Morristown, New Jersey",0.6,47.9,20.0,57.7,178,10.2,4.2,2.6,2.0,48.0,"Upsala College, Morehead State University",32nd overall,2nd round,Milwaukee Bucks,1987,6-6,"Morristown in Morristown, New Jersey",Bob McCann,Power Forward and Small Forward,Left,244lb,32,2,2,10,682765,3,227588.33333333334,1250
2687,mccanra01,"September 25, 1984","Asheville, North Carolina",1.3,43.1,36.8,74.1,249,12.9,10.0,2.0,3.6,49.9,University of North Carolina,14th overall,1st round,Minnesota Timberwolves,2005,6-4,"New Hampton School in New Hampton, New Hampshire",Rashad McCants,Shooting Guard,Right,207lb,14,1,30,4,7902790,4,1975697.5,1251
2694,mccarwa01,"February 1, 1974","Evansville, Indiana",1.1,39.2,34.6,69.8,593,10.1,5.2,2.6,13.7,47.4,University of Kentucky,19th overall,1st round,New York Knicks,1996,6-10,"Harrison in Evansville, Indiana",Walter McCarty,Small Forward and Power Forward,Right,230lb,19,1,11,6,15862580,10,1586258.0,1252
2695,mccasam01,"October 28, 1973","Maywood, Illinois",0.3,37.7,0.0,60.9,114,7.7,1.8,1.9,0.5,37.7,Marquette University,49th overall,2nd round,Orlando Magic,1996,6-11,"St. Joseph in Westchester, Illinois",Amal McCaskill,Center,Right,235lb,49,2,25,2,3810965,8,476370.625,1253
2696,mccawpa01,"October 25, 1995","St. Louis, Missouri",1.2,42.0,29.9,79.1,157,7.9,3.7,1.5,2.8,48.5,"University of Nevada, Las Vegas",38th overall,2nd round,Milwaukee Bucks,2016,6-7,"Montrose Christian in Rockville, Maryland",Patrick McCaw,Shooting Guard,Right,185lb,38,2,2,4,1934763,2,967381.5,1254
2697,mccladw01,"February 7, 1963","Worcester, Massachusetts",1.5,38.3,11.1,51.4,45,8.3,3.5,0.7,-0.3,38.6,Villanova University,27th overall,2nd round,Indiana Pacers,1985,6-6,"Holy Name in Worcester, Massachusetts",Dwayne McClain,Small Forward,Right,185lb,27,2,37,9,119875,1,119875.0,1255
2701,mccloge01,"May 27, 1967","Daytona Beach, Florida",2.3,40.2,35.8,81.0,766,12.7,9.0,3.1,24.6,47.7,Florida State University,7th overall,1st round,Indiana Pacers,1989,6-6,"Mainland in Daytona Beach, Florida",George McCloud,Small Forward,Right,205lb,7,1,37,9,15888279,11,1444389.0,1256
2702,mccolcj01,"September 19, 1991","Canton, Ohio",2.9,45.5,40.1,83.9,411,17.2,17.8,3.1,27.9,52.2,Lehigh University,10th overall,1st round,Portland Trail Blazers,2013,6-3,"Glen Oak in Canton, Ohio",CJ McCollum,Shooting Guard,Right,190lb,10,1,0,4,35905199,5,7181039.8,1257
2705,mccontj01,"March 25, 1992","Pittsburgh, Pennsylvania",4.7,48.7,33.5,76.8,314,13.5,6.4,2.9,12.4,51.0,"Duquesne University, University of Arizona",,,,,6-2,"Chartiers Valley in Bridgeville, Pennsylvania",T.J. McConnell,Point Guard,Right,190lb,0,0,-1,3,2992819,3,997606.3333333334,1258
2707,mccorti01,"March 10, 1962","Detroit, Michigan",1.0,53.5,6.3,70.3,483,12.8,8.3,4.9,21.5,53.5,University of Michigan,12th overall,1st round,Cleveland Cavaliers,1984,6-11,"Clarkston in Clarkston, Michigan",Tim McCormick,Center,Right,240lb,12,1,35,2,5121613,8,640201.625,1259
2711,mccraro01,"August 29, 1961","Mount Vernon, New York",3.6,50.3,26.0,76.1,768,14.4,11.7,6.6,56.0,50.7,University of Louisville,3rd overall,1st round,Houston Rockets,1983,6-7,"Mount Vernon in Mount Vernon, New York",Rodney McCray,Power Forward and Small Forward,Right,220lb,3,1,41,10,6624392,8,828049.0,1260
2714,mcculch01,"February 5, 1995","Bronx, New York",0.3,42.6,30.6,54.8,59,13.2,3.3,1.9,0.6,46.7,Syracuse University,29th overall,1st round,Brooklyn Nets,2015,6-11,"IMG Academy in Bradenton, Florida",Chris McCullough,Power Forward,Right,200lb,29,1,29,0,3964319,3,1321439.6666666667,1261
2716,mcdancl01,"February 26, 1972","Tulsa, Oklahoma",0.6,34.8,33.3,75.0,12,15.6,2.5,0.8,0.2,39.1,University of Arkansas,,,,,6-4,"Booker T. Washington in Tulsa, Oklahoma",Clint McDaniel,Shooting Guard,Right,180lb,0,0,-1,4,208478,1,208478.0,1262
2717,mcdanxa01,"June 4, 1963","Columbia, South Carolina",2.0,48.5,26.1,71.8,870,16.1,15.6,6.1,47.8,48.9,Wichita State University,4th overall,1st round,Seattle SuperSonics,1985,6-7,"A.C. Flora in Columbia, South Carolina",Xavier McDaniel,Small Forward and Power Forward,Right,205lb,4,1,32,6,12725509,9,1413945.4444444445,1263
2719,mcdankj01,"February 9, 1993","Mobile, Alabama",0.6,41.2,29.0,77.6,148,10.8,5.3,2.2,1.3,46.4,Clemson University,32nd overall,2nd round,Philadelphia 76ers,2014,6-6,"Central Park Christian School in Birmingham, Alabama",K.J. McDaniels,Small Forward and Shooting Guard,Right,205lb,32,2,31,16,7582355,4,1895588.75,1264
2720,mcderdo01,"January 3, 1992","Grand Forks, North Dakota",0.8,45.9,40.4,82.5,341,10.7,7.8,2.1,10.6,54.5,Creighton University,11th overall,1st round,Denver Nuggets,2014,6-8,"Ames in Ames, Iowa",Doug McDermott,Small Forward,Right,225lb,11,1,3,9,10878846,4,2719711.5,1265
2721,mcdonbe01,"July 20, 1962","Torrance, California",1.3,46.8,22.7,72.7,176,8.3,6.0,3.2,2.5,47.3,"University of California, Irvine",50th overall,3rd round,Cleveland Cavaliers,1984,6-8,"Long Beach Polytechnic in Long Beach, California",Ben McDonald,Power Forward and Small Forward,Right,210lb,5,3,35,10,140722,1,140722.0,1266
2726,mcdyean01,"September 7, 1974","Quitman, Mississippi",1.3,49.7,11.7,67.0,1015,17.2,12.0,7.5,69.8,49.7,University of Alabama,2nd overall,1st round,Los Angeles Clippers,1995,6-9,"Quitman in Quitman, Mississippi",Antonio McDyess,Center and Power Forward,Right,220lb,2,1,21,11,121583321,19,6399122.157894737,1267
2729,mcfariv01,"April 26, 1982","Missouri City, Texas",0.1,38.5,0.0,71.4,11,12.2,1.4,1.0,0.1,38.5,Oklahoma State University,,,,,6-8,"Willowridge in Houston, Texas",Ivan McFarlin,Power Forward,Right,240lb,0,0,-1,0,430213,1,430213.0,1268
2731,mcgarmi01,"June 6, 1992","Chesterton, Indiana",0.3,52.7,0.0,58.0,52,15.4,4.4,3.5,1.3,52.7,University of Michigan,21st overall,1st round,Oklahoma City Thunder,2014,6-10,"Brewster Academy in Wolfeboro, New Hampshire",Mitch McGary,Power Forward,Left,255lb,21,1,9,0,4575179,3,1525059.6666666667,1269
2732,mcgeeja01,"January 19, 1988","Flint, Michigan",0.4,57.0,7.4,58.8,633,19.5,8.0,5.1,31.9,57.0,"University of Nevada, Reno",18th overall,1st round,Washington Wizards,2008,7-0,"Hales Franciscan in Chicago, Illinois",JaVale McGee,Center,Right,270lb,18,1,51,2,57433959,11,5221269.0,1270
2733,mcgeemi01,"July 29, 1959","Tyler, Texas",1.2,48.7,35.4,59.7,520,14.0,9.6,2.1,15.1,52.3,University of Michigan,19th overall,1st round,Los Angeles Lakers,1981,6-5,"North in Omaha, Nebraska",Mike McGee,Small Forward and Shooting Guard,Right,190lb,19,1,6,16,1250867,4,312716.75,1271
2737,mcgratr01,"May 24, 1979","Bartow, Florida",4.4,43.5,33.8,74.6,938,22.1,19.6,5.6,97.3,47.0,,9th overall,1st round,Toronto Raptors,1997,6-8,"Mount Zion Christian Academy in Durham, North Carolina",Tracy McGrady,Shooting Guard and Small Forward,Right,210lb,9,1,13,12,169887133,15,11325808.866666667,1272
2740,mcgruro01,"July 29, 1991","Landover, Maryland",1.6,41.4,34.8,66.2,162,9.4,6.7,3.2,5.6,49.8,Kansas State University,,,,,6-4,"Arlington Country Day in Jacksonville, Florida",Rodney McGruder,Shooting Guard,Right,200lb,0,0,-1,4,1934763,2,967381.5,1273
2744,mcguido01,"October 20, 1985","San Diego, California",1.2,41.9,18.8,65.8,342,9.8,2.7,3.4,4.1,42.0,"University of California, California State University, Fresno",47th overall,2nd round,Washington Wizards,2007,6-9,"Lincoln in San Diego, California",Dominic McGuire,Shooting Guard and Power Forward and Small Forward,Right,220lb,47,2,51,39,4355878,8,544484.75,1274
2745,mchalke01,"December 19, 1957","Hibbing, Minnesota",1.7,55.4,26.1,79.8,971,20.0,17.9,7.3,113.0,55.5,University of Minnesota,3rd overall,1st round,Boston Celtics,1980,6-10,"Hibbing in Hibbing, Minnesota",Kevin McHale,Power Forward,Right,210lb,3,1,19,0,14801952,8,1850244.0,1275
2747,mcilvji01,"July 30, 1972","Racine, Wisconsin",0.3,44.6,10.0,55.1,401,10.0,2.7,3.1,9.4,44.7,Marquette University,32nd overall,2nd round,Washington Bullets,1994,7-1,"St. Catherine in Racine, Wisconsin",Jim McIlvaine,Center,Right,240lb,32,2,36,2,33486816,9,3720757.3333333335,1276
2748,mcinnje01,"October 22, 1974","Charlotte, North Carolina",4.4,43.1,32.8,79.6,576,12.6,9.4,2.0,23.1,46.1,University of North Carolina,37th overall,2nd round,Denver Nuggets,1996,6-4,"Oak Hill Academy in Mouth of Wilson, Virginia",Jeff McInnis,Point Guard and Shooting Guard,Right,190lb,37,2,3,14,20893623,10,2089362.3,1277
2752,mckenke01,"January 8, 1959","St. Paul, Minnesota",1.4,41.4,36.7,81.9,243,10.5,5.4,1.3,4.0,45.6,Creighton University,88th overall,4th round,Los Angeles Lakers,1981,6-5,"Palatine Township in Palatine, Illinois",Kevin McKenna,Shooting Guard,Right,195lb,8,4,6,4,244961,2,122480.5,1278
2755,mckeyde01,"October 10, 1966","Meridian, Mississippi",2.4,48.6,31.6,77.9,937,13.9,11.0,4.7,61.8,49.8,University of Alabama,9th overall,1st round,Seattle SuperSonics,1987,6-9,"Meridian in Meridian, Mississippi",Derrick McKey,Small Forward,Right,205lb,9,1,32,9,39278339,14,2805595.6428571427,1279
2756,mckieaa01,"October 2, 1972","Philadelphia, Pennsylvania",2.7,43.8,35.0,77.9,793,12.8,7.4,3.3,40.0,47.5,Temple University,17th overall,1st round,Portland Trail Blazers,1994,6-5,"Simon Gratz in Philadelphia, Pennsylvania",Aaron McKie,Point Guard and Shooting Guard and Small Forward,Right,209lb,17,1,0,36,54165640,17,3186214.117647059,1280
2757,mckinbi01,"June 5, 1955","Waukegan, Illinois",3.5,49.3,6.3,82.0,476,13.7,8.0,1.4,15.6,49.3,Northwestern University,115th overall,6th round,Phoenix Suns,1977,6-0,"Zion-Benton in Zion, Illinois",Billy McKinney,Point Guard,Left,160lb,11,6,14,3,130298,1,130298.0,1281
2761,mckinal01,"September 17, 1992","Chicago, Illinois",0.4,49.0,35.4,56.9,86,11.1,4.2,3.0,2.2,56.7,University of Wisconsin-Green Bay,,,,,6-8,"John Marshall in Chicago, Illinois",Alfonzo McKinnie,Small Forward,Right,215lb,0,0,-1,9,850189,1,850189.0,1282
2762,mclembe01,"February 11, 1993","St. Louis, Missouri",1.1,41.7,35.3,78.3,368,9.3,8.8,2.5,4.6,49.4,University of Kansas,7th overall,1st round,Sacramento Kings,2013,6-5,"Christian Life Center in Humble, Texas",Ben McLemore,Shooting Guard,Right,201lb,7,1,4,4,19062959,5,3812591.8,1283
2765,mcleoke01,"November 5, 1979","Canton, Ohio",2.7,35.7,28.2,80.0,200,9.6,5.5,1.3,1.9,38.6,Bowling Green State University,,,,,6-2,"McKinley in Canton, Ohio",Keith McLeod,Point Guard,Right,188lb,0,0,-1,3,4840456,5,968091.2,1284
2766,mcleoro01,"November 17, 1975","Jersey City, New Jersey",1.1,40.9,11.1,81.9,113,10.1,7.2,2.7,0.2,41.2,"St. John's University, Duke University",20th overall,1st round,Atlanta Hawks,1998,6-8,"Saint Anthony's in Jersey City, New Jersey",Roshown McLeod,Small Forward,Right,221lb,20,1,34,9,4317959,4,1079489.75,1285
2768,mcmilna01,"August 3, 1964","Raleigh, North Carolina",6.1,44.3,34.3,65.0,796,14.5,5.9,4.0,50.2,47.9,North Carolina State University,30th overall,2nd round,Seattle SuperSonics,1986,6-5,"Enloe in Raleigh, North Carolina",Nate McMillan,Shooting Guard and Point Guard,Right,195lb,30,2,32,13,10902366,10,1090236.6,1286
2769,mcmilto01,"May 26, 1952","Elmira, New York",1.1,48.3,12.0,80.6,729,12.2,8.1,4.0,27.2,48.3,University of Maryland,9th overall,1st round,Buffalo Braves,1974,6-11,"Mansfield in Mansfield, Pennsylvania",Tom McMillen,Center,Left,215lb,9,1,49,2,224114,1,224114.0,1287
2776,mcneaje01,"June 1, 1987","Chicago, Illinois",0.3,27.3,50.0,100.0,6,1.2,1.5,0.5,-0.1,31.8,Marquette University,,,,,6-3,"Hillcrest in Country Club Hills, Illinois",Jerel McNeal,Point Guard,Right,200lb,0,0,-1,3,31108,1,31108.0,1288
2781,mcphepa01,"July 3, 1978","Chicago, Illinois",0.7,50.5,16.7,72.4,55,13.6,4.8,1.4,0.9,50.9,DePaul University,,,,,6-4,"South Shore in Chicago, Illinois",Paul McPherson,Point Guard,Right,210lb,0,0,-1,3,330405,1,330405.0,1289
